# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Client_Info,,,,,,,,,,
# 20201001-20210320,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Date,Metro,Region,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
Brooklyn Park,20210130,Minneapolis-St. Paul MN,Minnesota,1,0,1,100.00%,1,00:00:00,0
Brooklyn Park,20210201,Minneapolis-St. Paul MN,Minnesota,1,0,1,100.00%,1,00:00:00,0
Brooklyn Park,20210207,Minneapolis-St. Paul MN,Minnesota,1,1,1,0.00%,2,00:00:35,0
Burr Ridge,20210128,Chicago IL,Illinois,1,1,1,100.00%,1,00:00:00,0
Burr Ridge,20210228,Chicago IL,Illinois,1,1,1,100.00%,1,00:00:00,0
Cameron Park,20210307,Sacramento-Stockton-Modesto CA,California,1,1,1,100.00%,1,00:00:00,0
Candler-McAfee,20210127,Atlanta GA,Georgia,1,1,1,0.00%,2,00:00:22,0
Canyon Lake,20210118,San Antonio TX,Texas,1,1,1,100.00%,1,00:00:00,0
Casas Adobes,20210125,Tucson (Sierra Vista) AZ,Arizona,1,1,1,100.00%,1,00:00:00,0
Catalina Foothills,20210114,Tucson (Sierra Vista) AZ,Arizona,1,1,1,100.00%,1,00:00:00,0
Catalina Foothills,20210121,Tucson (Sierra Vista) AZ,Arizona,1,1,1,100.00%,1,00:00:00,0
Catalina Foothills,20210124,Tucson (Sierra Vista) AZ,Arizona,1,0,2,100.00%,1,00:00:00,0
Catalina Foothills,20210125,Tucson (Sierra Vista) AZ,Arizona,1,0,10,100.00%,1,00:00:00,0
Catalina Foothills,20210202,Tucson (Sierra Vista) AZ,Arizona,1,0,2,100.00%,1,00:00:00,0
Catalina Foothills,20210203,Tucson (Sierra Vista) AZ,Arizona,1,0,1,100.00%,1,00:00:00,0
Catalina Foothills,20210209,Tucson (Sierra Vista) AZ,Arizona,1,1,1,100.00%,1,00:00:00,0
Catalina Foothills,20210214,Tucson (Sierra Vista) AZ,Arizona,1,0,4,100.00%,1,00:00:00,0
Catalina Foothills,20210216,Tucson (Sierra Vista) AZ,Arizona,1,0,1,100.00%,1,00:00:00,0
Catalina Foothills,20210219,Tucson (Sierra Vista) AZ,Arizona,1,0,3,100.00%,1,00:00:00,0
Catalina Foothills,20210222,Tucson (Sierra Vista) AZ,Arizona,1,1,1,0.00%,5,00:02:27,0
Catalina Foothills,20210303,Tucson (Sierra Vista) AZ,Arizona,1,0,1,100.00%,1,00:00:00,0
Centennial,20210218,Denver CO,Colorado,1,1,1,0.00%,4,00:00:43,0
Centerville,20210208,Dayton OH,Ohio,1,1,1,100.00%,1,00:00:00,0
Centerville,20210306,Dayton OH,Ohio,1,1,1,100.00%,1,00:00:00,0
Chester Township,20210222,"New York, NY",New Jersey,1,1,1,0.00%,2,00:00:36,0
Cheval,20210219,Tampa-St. Petersburg (Sarasota) FL,Florida,1,1,1,0.00%,2,00:00:07,0
Cinco Ranch,20210223,Houston TX,Texas,1,1,1,100.00%,1,00:00:00,0
Citrus Park,20210124,Tampa-St. Petersburg (Sarasota) FL,Florida,1,1,1,0.00%,11,00:03:37,0
Clinton,20210106,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Coconut Creek,20201228,Miami-Ft. Lauderdale FL,Florida,1,1,1,0.00%,2,00:00:14,0
Coconut Creek,20210304,Miami-Ft. Lauderdale FL,Florida,1,0,1,100.00%,1,00:00:00,0
Coconut Creek,20210305,Miami-Ft. Lauderdale FL,Florida,1,0,1,100.00%,1,00:00:00,0
Coconut Creek,20210307,Miami-Ft. Lauderdale FL,Florida,1,0,2,0.00%,4,00:01:50,0
Coconut Creek,20210311,Miami-Ft. Lauderdale FL,Florida,1,0,1,0.00%,2,00:01:17,0
Colchester,20210217,Hartford & New Haven CT,Connecticut,1,1,1,100.00%,1,00:00:00,0
College Park,20210212,Atlanta GA,Georgia,1,0,1,100.00%,1,00:00:00,0
Coral Gables,20210108,Miami-Ft. Lauderdale FL,Florida,1,0,2,0.00%,4.5,00:02:02,0
Coral Gables,20210126,Miami-Ft. Lauderdale FL,Florida,1,1,1,100.00%,1,00:00:00,0
Coral Gables,20210203,Miami-Ft. Lauderdale FL,Florida,1,1,1,0.00%,5,00:02:18,0
Coral Gables,20210204,Miami-Ft. Lauderdale FL,Florida,1,0,1,100.00%,1,00:00:00,0
Coral Gables,20210205,Miami-Ft. Lauderdale FL,Florida,1,0,1,0.00%,7,00:07:42,1
Coral Gables,20210219,Miami-Ft. Lauderdale FL,Florida,1,1,1,0.00%,2,00:00:24,0
Coral Gables,20210303,Miami-Ft. Lauderdale FL,Florida,1,1,1,100.00%,1,00:00:00,0
Coral Gables,20210313,Miami-Ft. Lauderdale FL,Florida,1,1,1,100.00%,1,00:00:00,0
Coral Springs,20210311,Miami-Ft. Lauderdale FL,Florida,1,1,1,100.00%,1,00:00:00,0
Cottonwood Heights,20201231,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Cottonwood Heights,20210308,Salt Lake City UT,Utah,1,1,1,100.00%,1,00:00:00,0
Country Knolls,20210207,Albany-Schenectady-Troy NY,New York,1,1,1,100.00%,1,00:00:00,0
Covington,20210121,Seattle-Tacoma WA,Washington,1,1,2,100.00%,1,00:00:00,0
Crozet,20201231,Charlottesville VA,Virginia,1,1,1,0.00%,2,00:00:01,0
Crozet,20210101,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210102,Charlottesville VA,Virginia,1,1,1,0.00%,2,00:00:00,0
Crozet,20210104,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210106,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210108,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210110,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210111,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210112,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210118,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210120,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210125,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210201,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210202,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210203,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210206,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210213,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210215,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
Crozet,20210217,Charlottesville VA,Virginia,1,1,1,100.00%,1,00:00:00,0
