# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,,,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,,,,,,,,,,,,,,
# 20200901-20210328,,,,,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour of Day,Avg. Order Value,Avg. Price,Avg. QTY,Buy-to-Detail Rate,Cart-to-Detail Rate,Ecommerce Conversion Rate,Per Session Value,Product Adds To Cart,Product Checkouts,Product Detail Views,Product List Clicks,Product List CTR,Product List Views,Product Refunds,Product Removes From Cart,Quantity,Quantity Added To Cart,Quantity Checked Out,Quantity Refunded,Quantity Removed From Cart,Revenue,Transactions,Transactions per User,Unique Purchases
20210311,2021031112,$233.67,$202.00,1,0.00%,0.00%,12.50%,$29.21,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$233.67,1,0.17,1
20210223,2021022314,$233.45,$198.33,1,0.00%,0.00%,25.00%,$58.36,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$700.35,3,0.27,3
20210202,2021020221,$233.42,$220.00,1,0.00%,0.00%,25.00%,$58.36,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$233.42,1,0.17,1
20210204,2021020407,$231.60,$192.00,1,0.00%,0.00%,14.29%,$33.09,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$231.60,1,0.12,1
20210201,2021020115,$225.35,$101.00,2,0.00%,0.00%,25.00%,$56.34,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$225.35,1,0.25,1
20210321,2021032114,$225.23,$97.00,2,0.00%,0.00%,200.00%,$450.46,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$450.46,2,2,2
20210307,2021030712,$224.39,$149.00,1.33,0.00%,0.00%,60.00%,$134.63,0,0,0,0,0.00%,0,0,0,4,0,0,0,0,$673.16,3,0.43,3
20210127,2021012705,$220.69,$208.00,1,0.00%,0.00%,14.29%,$31.53,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$220.69,1,0.17,1
20210202,2021020211,$220.41,$135.00,1.5,0.00%,0.00%,13.33%,$29.39,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$440.82,2,0.15,2
20210113,2021011307,$217.19,$178.00,1,0.00%,0.00%,20.00%,$43.44,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$217.19,1,0.2,1
20210212,2021021214,$214.32,$101.00,1,0.00%,0.00%,11.11%,$23.81,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$214.32,1,0.12,2
20210308,2021030808,$213.47,$202.00,1,0.00%,0.00%,9.09%,$19.41,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$213.47,1,0.08,1
20210321,2021032117,$213.32,$185.00,1,0.00%,0.00%,16.67%,$35.55,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$213.32,1,0.25,1
20210221,2021022117,$210.30,$133.00,1.5,0.00%,0.00%,20.00%,$42.06,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$420.60,2,0.2,2
20210224,2021022414,$209.86,$199.00,1,0.00%,0.00%,33.33%,$69.95,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$209.86,1,0.33,1
20210202,2021020209,$207.08,$114.33,1.5,0.00%,0.00%,18.18%,$37.65,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$414.16,2,0.18,2
20210212,2021021218,$205.84,$97.00,2,0.00%,0.00%,33.33%,$68.61,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$205.84,1,0.33,1
20210216,2021021619,$204.81,$108.00,1.5,0.00%,0.00%,40.00%,$81.92,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$409.62,2,0.4,2
20210209,2021020915,$204.78,$193.00,1,0.00%,0.00%,40.00%,$81.91,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$409.55,2,0.29,2
20210105,2021010520,$203.72,$96.00,2,0.00%,0.00%,33.33%,$67.91,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$203.72,1,0.33,1
20210113,2021011317,$203.72,$192.00,1,0.00%,0.00%,14.29%,$29.10,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$203.72,1,0.14,1
20210309,2021030914,$203.62,$186.00,1,0.00%,0.00%,22.22%,$45.25,0,0,0,0,0.00%,0,0,0,2,0,0,0,0,$407.25,2,0.29,2
20210228,2021022803,$200.81,$163.00,1,0.00%,0.00%,33.33%,$66.94,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$200.81,1,0.33,1
20210328,2021032808,$198.84,$172.00,1,0.00%,0.00%,33.33%,$66.28,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$198.84,1,0.33,1
20210201,2021020116,$194.97,$161.00,1,0.00%,0.00%,33.33%,$64.99,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$194.97,1,0.5,1
20210217,2021021720,$194.82,$185.00,1,0.00%,0.00%,25.00%,$48.70,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$194.82,1,0.2,1
20210225,2021022512,$194.82,$185.00,1,0.00%,0.00%,14.29%,$27.83,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$194.82,1,0.14,1
20210328,2021032817,$194.16,$128.00,1.5,0.00%,0.00%,66.67%,$129.44,0,0,0,0,0.00%,0,0,0,3,0,0,0,0,$388.33,2,0.67,2
20210317,2021031714,$192.55,$159.00,1,0.00%,0.00%,50.00%,$96.28,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$192.55,1,0.5,1
20210130,2021013010,$191.12,$148.00,1,0.00%,0.00%,8.70%,$16.62,0,0,0,0,0.00%,0,0,0,1,0,0,0,0,$382.23,2,0.15,1
