# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
# All Web Site Data,,,,,,,,,,,,,,,,,,,,,
# Flat File Report,,,,,,,,,,,,,,,,,,,,,
# 20200101-20200930,,,,,,,,,,,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Hour,Avg. Session Duration,Avg. Time on Page,Avg. Time on Screen,Bounce Rate,Bounces,Exits,Hits,New Users,Number of Sessions per User,Pages / Session,Pageviews,Results Pageviews / Search,Screen Views,Screens / Session,Session Duration,Sessions,Total Unique Searches,Unique Pageviews,Unique Screen Views,Users
20200721,2,00:12:29,00:01:34,00:00:00,0.00%,0,1,11,1,1,9,9,0,0,0,00:12:29,1,0,7,0,1
20200711,19,00:12:22,00:12:22,00:00:00,0.00%,0,1,2,0,1,2,2,0,0,0,00:12:22,1,0,1,0,1
20200120,21,00:12:09,00:06:05,00:00:00,50.00%,1,2,6,2,1,3,6,0,0,0,00:24:18,2,0,3,0,2
20200820,18,00:12:09,00:03:19,00:00:00,0.00%,0,3,15,3,1,4.67,14,0,0,0,00:36:26,3,0,14,0,3
20200112,12,00:12:08,00:00:56,00:00:00,0.00%,0,2,33,2,1,14,28,0,0,0,00:24:16,2,0,17,0,2
20200813,14,00:12:07,00:02:34,00:00:00,0.00%,0,4,22,3,1,4,20,0,0,0,01:00:37,5,0,16,0,5
20200702,9,00:12:06,00:00:52,00:00:00,0.00%,0,2,36,2,1,15,30,0,0,0,00:24:12,2,0,13,0,2
20200215,6,00:12:06,00:00:54,00:00:00,16.67%,1,5,61,4,1,8.67,52,0,0,0,01:12:35,6,0,28,0,6
20200205,22,00:12:01,00:07:30,00:00:00,50.00%,1,1,4,0,1,2,4,0,0,0,00:24:02,2,0,3,0,2
20200713,18,00:12:01,00:01:03,00:00:00,0.00%,0,2,27,1,1,12.5,25,0,0,0,00:24:02,2,0,10,0,2
20200515,19,00:11:45,00:11:45,00:00:00,0.00%,0,0,1,1,1,1,1,0,0,0,00:11:45,1,0,1,0,1
20200617,14,00:11:41,00:01:28,00:00:00,0.00%,0,1,12,1,1,9,9,0,0,0,00:11:41,1,0,9,0,1
20200131,19,00:11:33,00:01:14,00:00:00,0.00%,0,0,11,2,1,5.5,11,0,0,0,00:23:06,2,0,5,0,2
20200912,0,00:11:32,00:11:32,00:00:00,0.00%,0,0,1,0,1,1,1,0,0,0,00:11:32,1,0,1,0,1
20200909,16,00:11:30,00:01:44,00:00:00,0.00%,0,3,28,2,1,7.67,23,0,0,0,00:34:29,3,0,15,0,3
20200617,13,00:11:29,00:02:39,00:00:00,33.33%,1,3,17,2,1,5.33,16,0,0,0,00:34:28,3,0,9,0,3
20200625,23,00:11:29,00:03:17,00:00:00,50.00%,1,2,10,2,1,4.5,9,0,0,0,00:22:58,2,0,4,0,2
20200221,20,00:11:27,00:01:02,00:00:00,50.00%,1,2,26,2,1,12,24,0,0,0,00:22:53,2,0,10,0,2
20200212,19,00:11:22,00:01:20,00:00:00,0.00%,0,2,25,1,1,9.5,19,0,0,0,00:22:44,2,0,11,0,2
20200109,11,00:11:15,00:01:22,00:00:00,0.00%,0,4,45,3,1,9.25,37,0,0,0,00:45:00,4,0,24,0,4
20200102,12,00:11:14,00:02:48,00:00:00,0.00%,0,2,11,2,1,5,10,0,0,0,00:22:27,2,0,6,0,2
20200124,16,00:11:11,00:01:15,00:00:00,0.00%,0,2,23,1,1,10,20,0,0,0,00:22:21,2,0,16,0,2
20200128,18,00:11:07,00:01:05,00:00:00,0.00%,0,3,37,2,1,11.33,34,0,0,0,00:33:21,3,0,17,0,3
20200725,16,00:11:05,00:01:35,00:00:00,0.00%,0,5,32,5,1.2,5,30,0,0,0,01:06:31,6,0,21,0,5
20200621,5,00:11:01,00:11:01,00:00:00,0.00%,0,1,2,1,1,2,2,0,0,0,00:11:01,1,0,1,0,1
20200207,13,00:11:00,00:03:40,00:00:00,0.00%,0,2,8,1,1,4,8,0,0,0,00:22:00,2,0,5,0,2
20200624,11,00:10:57,00:05:28,00:00:00,0.00%,0,1,3,1,1,3,3,0,0,0,00:10:57,1,0,2,0,1
20200128,8,00:10:45,00:03:35,00:00:00,0.00%,0,2,9,0,1,4,8,0,0,0,00:21:29,2,0,7,0,2
20200601,10,00:10:43,00:01:52,00:00:00,37.50%,3,7,58,6,1.14,6.62,53,0,0,0,01:25:41,8,0,37,0,7
20200203,9,00:10:41,00:01:56,00:00:00,0.00%,0,3,29,3,0.75,7,21,0,0,0,00:32:02,3,0,18,0,4
20200919,22,00:10:33,00:08:41,00:00:00,50.00%,1,1,3,2,1,1.5,3,0,0,0,00:21:05,2,0,3,0,2
20200217,13,00:10:32,00:02:06,00:00:00,0.00%,0,1,12,2,1,5.5,11,0,0,0,00:21:03,2,0,8,0,2
20200301,15,00:10:31,00:01:19,00:00:00,33.33%,1,4,35,3,0.75,9.33,28,0,0,0,00:31:32,3,0,20,0,4
20200830,11,00:10:25,00:02:24,00:00:00,33.33%,1,3,18,2,1,5.33,16,0,0,0,00:31:15,3,0,9,0,3
20200531,21,00:10:24,00:04:10,00:00:00,50.00%,1,2,7,2,1,3.5,7,0,0,0,00:20:48,2,0,7,0,2
20200316,14,00:10:20,00:02:04,00:00:00,0.00%,0,1,7,1,1,6,6,0,0,0,00:10:20,1,0,6,0,1
20200213,13,00:10:19,00:01:01,00:00:00,14.29%,1,5,80,3,1.4,10.43,73,0,0,0,01:12:10,7,0,53,0,5
20200624,15,00:10:18,00:01:24,00:00:00,33.33%,2,6,61,4,1,8.33,50,0,0,0,01:01:49,6,0,37,0,6
20200126,20,00:10:18,00:00:51,00:00:00,50.00%,1,2,10,2,0.67,5,10,0,0,0,00:20:36,2,0,8,0,3
20200824,19,00:10:18,00:03:25,00:00:00,0.00%,0,1,12,2,1,3.5,7,0,0,0,00:20:35,2,0,4,0,2
20200127,5,00:10:15,00:02:34,00:00:00,0.00%,0,2,10,2,1,5,10,0,0,0,00:20:29,2,0,5,0,2
20200221,10,00:10:12,00:01:42,00:00:00,0.00%,0,3,24,2,1.5,7,21,0,0,0,00:30:36,3,0,13,0,2
20200310,18,00:10:12,00:02:21,00:00:00,0.00%,0,0,9,1,1,4,8,0,0,0,00:20:24,2,0,8,0,2
20200520,18,00:10:11,00:05:06,00:00:00,0.00%,0,1,3,1,1,3,3,0,0,0,00:10:11,1,0,2,0,1
20200926,20,00:10:10,00:00:56,00:00:00,0.00%,0,1,16,1,1,12,12,0,0,0,00:10:10,1,0,9,0,1
20200610,15,00:10:09,00:01:16,00:00:00,0.00%,0,1,10,1,1,9,9,0,0,0,00:10:09,1,0,7,0,1
20200616,20,00:10:07,00:00:39,00:00:00,0.00%,0,3,41,1,1,18.5,37,0,0,0,00:20:14,2,0,23,0,2
20200630,6,00:10:06,00:01:31,00:00:00,25.00%,1,5,43,3,0.8,8.75,35,0,0,0,00:40:23,4,0,23,0,5
20200601,17,00:10:04,00:03:21,00:00:00,0.00%,0,2,9,2,1,4,8,0,0,0,00:20:07,2,0,5,0,2
20200811,5,00:09:59,00:02:00,00:00:00,0.00%,0,1,6,0,1,6,6,0,0,0,00:09:59,1,0,5,0,1
20200911,19,00:09:59,00:01:46,00:00:00,33.33%,1,3,20,1,1,6.67,20,0,0,0,00:29:57,3,0,12,0,3
20200917,10,00:09:53,00:09:53,00:00:00,0.00%,0,3,6,2,1,2,6,0,0,0,00:29:38,3,0,5,0,3
20200222,5,00:09:53,00:01:25,00:00:00,25.00%,1,4,39,3,1,8,32,0,0,0,00:39:30,4,0,24,0,4
20200116,11,00:09:51,00:00:49,00:00:00,0.00%,0,1,14,0,1,13,13,0,0,0,00:09:51,1,0,8,0,1
20200902,12,00:09:51,00:03:39,00:00:00,50.00%,2,4,11,1,0.8,2.25,9,0,0,0,00:39:23,4,0,9,0,5
20200620,16,00:09:51,00:04:13,00:00:00,0.00%,0,3,12,3,1,3.33,10,0,0,0,00:29:32,3,0,7,0,3
20200629,2,00:09:50,00:00:39,00:00:00,0.00%,0,1,20,1,1,16,16,0,0,0,00:09:50,1,0,9,0,1
20200111,13,00:09:50,00:02:28,00:00:00,50.00%,1,2,12,2,1,5,10,0,0,0,00:19:39,2,0,10,0,2
