# ----------------------------------------
# All Web Site Data
# Flat File Report
# 20201001-20210314
# ----------------------------------------

Date,Hour,Avg. Session Duration,Avg. Time on Page,Avg. Time on Screen,Bounce Rate,Bounces,Exits,Hits,New Users,Number of Sessions per User,Pages / Session,Pageviews,Results Pageviews / Search,Screen Views,Screens / Session,Session Duration,Sessions,Total Unique Searches,Unique Pageviews,Unique Screen Views,Users
20201224,05,00:12:47,00:04:16,00:00:00,0.00%,0,1,4,1,1.00,4.00,4,0.00,0,0.00,00:12:47,1,0,2,0,1
20201207,13,00:12:45,00:01:36,00:00:00,0.00%,0,0,11,1,1.00,8.00,8,0.00,0,0.00,00:12:45,1,0,8,0,1
20201210,16,00:12:43,00:01:17,00:00:00,0.00%,0,1,20,2,1.00,9.50,19,0.00,0,0.00,00:25:25,2,0,13,0,2
20201106,06,00:12:42,00:02:05,00:00:00,0.00%,0,1,8,1,0.50,7.00,7,0.00,0,0.00,00:12:42,1,0,6,0,2
20210302,06,00:12:27,00:02:01,00:00:00,20.00%,1,4,37,5,1.00,6.80,34,0.00,0,0.00,01:02:15,5,0,23,0,5
20210108,20,00:12:26,00:02:29,00:00:00,0.00%,0,2,13,2,1.00,6.00,12,0.00,0,0.00,00:24:52,2,0,7,0,2
20201011,11,00:12:18,00:02:44,00:00:00,66.67%,4,7,37,3,0.75,5.33,32,0.00,0,0.00,01:13:45,6,0,19,0,8
20201010,19,00:12:16,00:02:27,00:00:00,0.00%,0,2,8,1,0.50,7.00,7,0.00,0,0.00,00:12:16,1,0,4,0,2
20201202,22,00:12:12,00:04:04,00:00:00,0.00%,0,1,4,1,1.00,4.00,4,0.00,0,0.00,00:12:12,1,0,2,0,1
20210215,06,00:12:05,00:00:18,00:00:00,0.00%,0,0,5,0,1.00,4.00,4,0.00,0,0.00,00:12:05,1,0,4,0,1
20210212,09,00:12:05,00:03:27,00:00:00,50.00%,1,2,10,2,1.00,4.50,9,0.00,0,0.00,00:24:09,2,0,8,0,2
20201010,06,00:12:03,00:00:20,00:00:00,0.00%,0,0,4,1,1.00,3.00,3,0.00,0,0.00,00:12:03,1,0,3,0,1
20201015,06,00:11:58,00:02:00,00:00:00,0.00%,0,1,8,0,1.00,7.00,7,0.00,0,0.00,00:11:58,1,0,3,0,1
20210127,08,00:11:58,00:00:51,00:00:00,0.00%,0,2,37,2,1.00,15.00,30,0.00,0,0.00,00:23:56,2,0,16,0,2
20201110,13,00:11:52,00:01:05,00:00:00,0.00%,0,1,13,1,1.00,12.00,12,0.00,0,0.00,00:11:52,1,0,10,0,1
20210215,17,00:11:51,00:00:25,00:00:00,0.00%,0,1,34,1,1.00,30.00,30,0.00,0,0.00,00:11:51,1,0,18,0,1
20210206,04,00:11:49,00:01:29,00:00:00,0.00%,0,1,12,0,1.00,9.00,9,0.00,0,0.00,00:11:49,1,0,8,0,1
