# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20200101-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
City,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
(not set),20201203,1,1,1,100.00%,1,00:00:00,0
(not set),20201207,1,0,2,50.00%,3,00:00:39,0
(not set),20201214,1,1,1,0.00%,10,00:06:39,0
(not set),20201222,1,1,1,0.00%,3,00:00:34,0
(not set),20201223,1,1,1,0.00%,3,00:00:14,0
(not set),20201227,1,1,1,0.00%,7,00:02:01,0
(not set),20201228,1,1,1,0.00%,2,00:00:43,0
(not set),20201229,1,0,1,100.00%,1,00:00:00,0
(not set),20201230,1,1,1,0.00%,2,00:00:12,0
(not set),20210103,1,1,1,0.00%,4,00:02:55,0
(not set),20210108,1,1,1,0.00%,2,00:00:35,0
(not set),20210110,1,1,1,100.00%,1,00:00:00,0
(not set),20210111,1,1,1,0.00%,4,00:00:45,0
(not set),20210114,1,1,2,0.00%,2.5,00:00:29,0
(not set),20210121,1,1,1,0.00%,13,00:03:30,0
(not set),20210123,1,1,1,0.00%,2,00:00:09,0
(not set),20210127,1,1,1,0.00%,2,00:00:17,0
(not set),20210202,1,1,2,50.00%,2,00:00:06,0
(not set),20210203,1,1,1,100.00%,1,00:00:00,0
(not set),20210204,1,1,1,0.00%,5,00:00:44,0
(not set),20210208,1,1,1,0.00%,2,00:00:12,0
(not set),20210210,1,1,1,0.00%,5,00:01:14,0
(not set),20210216,1,1,1,0.00%,3,00:00:37,0
(not set),20210220,1,1,1,0.00%,6,00:01:59,0
(not set),20210223,1,1,2,100.00%,1,00:00:00,0
(not set),20210224,1,1,1,0.00%,5,00:01:07,0
(not set),20210225,1,0,1,100.00%,1,00:00:00,0
(not set),20210226,1,1,1,0.00%,22,00:19:01,1
(not set),20210301,1,1,1,0.00%,4,00:00:43,0
(not set),20210302,1,1,1,0.00%,7,00:01:56,0
(not set),20210304,1,1,1,0.00%,7,00:00:43,0
(not set),20210306,1,1,1,0.00%,6,00:05:59,1
(not set),20210310,1,1,1,0.00%,3,00:01:02,0
(not set),20210312,1,1,1,100.00%,1,00:00:00,0
(not set),20210314,1,1,1,0.00%,16,00:06:43,0
(not set),20210315,1,1,1,0.00%,2,00:00:09,0
(not set),20210320,1,1,1,100.00%,1,00:00:00,0
(not set),20201207,1,1,1,0.00%,2,00:00:08,0
(not set),20210311,1,1,1,100.00%,1,00:00:00,0
(not set),20200727,1,1,1,0.00%,8,00:25:24,0
(not set),20201006,1,1,1,0.00%,2,00:00:25,0
(not set),20201022,1,1,1,0.00%,6,00:02:52,1
(not set),20201214,1,1,1,0.00%,6,00:01:49,0
(not set),20210225,1,1,1,0.00%,2,00:00:26,0
(not set),20200612,1,1,1,100.00%,1,00:00:00,0
(not set),20210108,1,1,1,0.00%,2,00:00:09,0
(not set),20200222,1,1,1,0.00%,2,00:00:06,0
(not set),20200918,1,0,1,100.00%,1,00:00:00,0
