# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20200101-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Browser,Device Category,Date,Sessions,Avg. Session Duration,Bounce Rate,Users,Pages / Session,Transactions
Safari,mobile,20210107,18,00:00:37,55.56%,17,2.72,1
Safari,mobile,20210111,18,00:01:33,27.78%,13,2.44,0
Safari,mobile,20210305,18,00:00:46,33.33%,15,3.5,0
Safari,mobile,20210307,18,00:03:02,44.44%,18,4.56,0
Safari,mobile,20210320,18,00:00:27,50.00%,18,2.83,0
Chrome,desktop,20200102,17,00:04:09,29.41%,17,5.71,1
Chrome,desktop,20200122,17,00:03:58,41.18%,16,5.35,1
Chrome,desktop,20200129,17,00:03:36,23.53%,15,6.47,0
Chrome,desktop,20200207,17,00:03:12,29.41%,15,4.53,1
Chrome,desktop,20200630,17,00:02:34,29.41%,16,4.24,1
Chrome,desktop,20200706,17,00:02:17,35.29%,16,2.59,0
Chrome,desktop,20200810,17,00:01:10,29.41%,17,3.53,0
Chrome,desktop,20200911,17,00:01:33,29.41%,17,3.94,0
Chrome,desktop,20200925,17,00:04:22,11.76%,15,5.71,1
Chrome,desktop,20201005,17,00:02:16,29.41%,16,3.29,0
Chrome,desktop,20201015,17,00:03:13,23.53%,17,4.06,1
Chrome,desktop,20201208,17,00:00:55,41.18%,15,2.76,0
Chrome,desktop,20210112,17,00:02:23,17.65%,16,4,0
Chrome,desktop,20210209,17,00:01:04,41.18%,16,3.24,0
Chrome,mobile,20200926,17,00:01:08,41.18%,14,4.88,1
Safari,mobile,20200107,17,00:03:33,11.76%,13,4.53,0
Safari,mobile,20200124,17,00:01:57,35.29%,15,3.71,0
Safari,mobile,20200129,17,00:02:00,47.06%,14,2.94,2
Safari,mobile,20200307,17,00:01:36,41.18%,15,3.12,0
Safari,mobile,20200314,17,00:00:12,47.06%,7,1.88,0
Safari,mobile,20200808,17,00:00:40,47.06%,16,2.71,0
Safari,mobile,20200813,17,00:03:57,35.29%,10,3.24,0
Safari,mobile,20201023,17,00:00:37,70.59%,12,1.71,0
Safari,mobile,20201221,17,00:00:39,35.29%,17,2.29,0
Safari,mobile,20210122,17,00:03:35,41.18%,15,2.94,1
Safari,mobile,20210201,17,00:01:20,35.29%,15,3,1
Safari,mobile,20210205,17,00:02:23,23.53%,16,3.41,0
Safari,mobile,20210206,17,00:01:05,52.94%,16,2.47,0
Safari,mobile,20210211,17,00:01:18,41.18%,14,2.47,0
Safari,mobile,20210214,17,00:03:06,41.18%,15,3.65,2
Safari,mobile,20210301,17,00:02:16,35.29%,16,2.88,1
'',desktop,20200121,16,00:00:00,100.00%,16,1,0
Chrome,desktop,20200116,16,00:01:54,31.25%,14,4.31,1
Chrome,desktop,20200306,16,00:04:16,68.75%,16,2.75,2
Chrome,desktop,20200609,16,00:03:18,18.75%,16,4.38,0
Chrome,desktop,20200619,16,00:03:09,18.75%,15,3.69,0
Chrome,desktop,20200708,16,00:02:30,43.75%,14,2.81,1
Chrome,desktop,20200709,16,00:00:29,50.00%,16,2.31,0
Chrome,desktop,20200711,16,00:02:12,43.75%,14,2.94,1
Chrome,desktop,20200724,16,00:00:37,43.75%,15,2.06,0
